pt_visA,phi_visA,eta_visA,pt_visB,phi_visB,eta_visB,pt_MET,phi_MET,mT2,mll
24.1112,-1.15405,0.570557,42.1068,2.26465,0.120407,65.5269,-2.73047,0.341795,64.7514
27.8817,2.4082,0.485229,28.1706,0.353943,-0.309998,71.8614,-1.7312,45.6385,53.1465
26.985,1.31689,0.224731,32.2291,-2.24609,0.767822,38.5992,-1.073,19.8602,59.9127
35.9218,0.129974,-0.387756,63.6567,-1.9458,0.376099,37.8155,2.72314,40.7453,90.4777
21.9623,1.96606,-1.44751,30.9136,-2.26758,0.994507,38.827,1.58447,10.2676,92.1399
27.1872,-0.62439,-1.19751,34.8165,-2.35889,-0.602173,40.5259,1.13232,37.6315,50.4694
43.9611,-1.21411,-0.110016,52.0167,-0.175171,1.23242,55.2262,-1.91528,29.8938,83.859
28.5581,-0.650757,1.9082,32.6892,2.32861,-0.286926,44.5305,-3.01709,12.925,101.641
23.8557,3.06641,-0.0480576,124.446,-0.152222,0.418335,74.742,-1.14868,0.619539,111.87
24.6016,1.41309,-1.62451,25.6181,-2.56689,-2.06689,52.1831,-0.791382,32.3235,47.2091
22.4699,0.753784,1.16284,28.6799,-1.5271,-0.529419,60.5994,2.07861,31.7119,66.7777
40.6905,-1.77368,1.12842,43.3386,2.01855,0.565308,146.935,1.22729,44.0522,83.1109
24.1223,-0.607544,0.433044,30.7438,2.82764,0.448059,87.7501,0.0705566,18.7914,53.8808
42.1876,-1.10767,0.019207,53.54,2.38428,0.563232,147.739,-1.84424,0.33411,97.1886
26.8947,0.249878,-1.78589,36.054,-2.20947,-1.5542,67.1438,2.65088,35.3848,59.1341
28.9506,2.63281,-1.40112,33.7615,0.209351,-0.195404,96.1561,0.71106,0.23756,70.9121
23.1447,1.5249,0.163025,30.3754,-1.75293,1.96362,83.9092,1.26099,7.68517,75.9262
20.5752,-2.28174,-0.770752,38.294,-0.682739,-1.16138,35.6916,0.168823,23.1772,41.7374
20.4752,-2.32129,-0.787842,55.3153,-2.52295,0.545532,48.0297,-0.196564,47.3595,48.7453
57.3013,1.86938,-1.61108,67.6296,-0.0410614,-1.53345,73.1048,2.89014,51.2229,101.765
24.5941,1.6123,-0.906006,44.9953,-1.33887,1.03784,51.3325,2.18311,11.9418,100.31
26.3031,-1.94995,1.85107,42.7383,0.826538,2.2002,44.4799,2.30273,22.7267,66.9837
39.2051,-1.62842,0.653442,45.4839,2.24072,0.211426,40.1923,1.20361,28.2375,81.1414
38.4817,2.87842,-0.00688648,51.6435,2.87012,-0.0290184,81.6662,0.228455,82.2834,1.05376
38.8446,-1.97412,-1.54785,46.0969,2.09082,-0.0569534,47.4077,0.802246,37.1923,102.545
20.9969,-2.46094,1.12842,31.3437,0.865356,-0.619629,44.7129,1.83179,0.341177,72.0296
39.4493,-0.0175552,-1.43115,77.3237,1.7644,-1.60645,76.6346,-0.155212,7.43186,86.4488
24.8125,1.32739,-0.290771,45.4382,0.473816,1.34595,42.19,2.8999,39.1,67.3082
41.6983,-1.08716,1.27563,45.6039,0.411316,-0.861084,85.8807,3.05127,73.0963,126.725
24.0172,-0.188568,0.282959,30.1103,-1.69629,1.67749,59.9578,2.02197,47.9703,54.8153
42.6363,-2.10645,0.818237,45.2408,-1.12402,-0.348206,40.2231,1.21533,55.0342,68.2094
24.7773,-1.11426,1.26587,38.0569,-1.14087,1.41553,59.2617,1.31177,55.9726,4.67193
43.2752,2.43311,-0.530151,46.7419,0.976807,0.259521,53.352,1.30396,0.150819,70.083
21.1837,-2.75977,-0.141876,40.6244,0.293823,-0.435913,76.0923,-0.130524,0.440277,59.2502
35.0191,2.19434,1.01782,58.7418,2.19678,1.01733,50.6979,-0.752319,66.3886,0.112923
