run,event,pt_visA,phi_visA,eta_visA,pt_visB,phi_visB,eta_visB,pt_MET,phi_MET,mT2,mll
279716,184712824,49.3173,0.885498,-1.76538,20.0643,-1.16699,0.225433,37.0435,0.172455,0.162274,91.0865
279716,190494805,45.0653,0.910767,0.0369034,37.7119,-2.13818,-0.553101,34.1457,-0.860718,0.342011,85.979
279716,201413125,32.744,-2.96973,-0.494812,31.5923,0.210022,-2.13574,40.2553,2.49219,0.530962,87.2104
279716,707314876,47.6803,2.80811,2.0874,25.741,-0.717529,0.525635,34.6625,0.621948,20.1948,91.5661
279716,2404679405,45.4699,0.534912,0.159149,36.4818,-2.3208,-0.843994,54.3073,1,14.5463,91.1848
279716,2710108925,48.9295,-1.67505,-0.633057,40.3142,1.34668,-0.395447,45.3029,-2.37842,12.0465,89.2962
279716,2831094827,43.4652,3.04932,-1.08862,41.2653,-0.100189,-0.168976,24.7754,-0.557129,0.590807,93.8148
279760,300632697,37.7268,2.28369,1.01587,35.7526,-0.754395,2.23096,42.4412,1.85474,0.268863,87.3485
279760,310957494,252.466,-0.685547,-0.73645,103.85,2.62061,0.520874,32.1037,2.50488,6.09262,389.063
279760,811562701,44.5824,2.73828,-1.99683,41.6492,1.45508,-1.50317,46.1691,0.646973,29.7162,55.8753
279766,295574638,128.949,-1.41895,-0.393677,20.4181,2.94043,-0.97876,21.8727,-1.12061,11.4344,89.5188
279794,55816644,25.2861,-2.71533,-0.304993,22.175,-0.401001,1.625,33.9461,2.06787,24.1033,68.5824
279794,300214723,53.9379,1.06934,-1.78613,44.1333,-1.84155,-2.08643,26.4433,-0.824097,0.196922,98.0407
279823,565760780,35.5016,2.71045,-0.428467,31.2031,0.373169,1.36597,21.3152,-1.18604,22.5619,91.5708
279841,946626702,65.1936,-1.6355,-1.42529,33.1909,2.22363,-1.16064,22.4649,-0.871826,18.6709,87.9812
279841,948051715,41.8963,-3.01172,1.70312,33.7111,0.56897,0.553345,26.2864,-2.31494,14.4656,86.3923
279844,392899150,65.3852,1.56543,1.60498,31.1189,-1.00562,1.4519,28.4265,2.42725,20.556,86.845
279844,392363179,53.1773,-0.991699,1.2522,27.007,2.45654,2.23486,46.2636,1.71729,16.7503,84.3368
279844,396698932,33.0568,2.76367,0.776489,23.0719,-0.0310631,-1.59741,45.7374,-1.18872,18.9119,98.469
279887,100363506,45.8113,2.24414,0.885742,42.1284,-0.906494,0.4422,27.8537,2.49561,0.444324,90.0312
279887,212925284,49.0731,-0.319702,0.833618,42.7913,2.07324,0.938354,40.8493,1.26855,0.16368,85.4382
279887,233098174,91.2785,-1.22803,1.72998,21.697,2.09082,1.33984,34.4397,-1.58618,0.214308,90.361
279887,242993552,54.0681,-1.39185,-0.411926,31.6555,1.72461,0.465759,37.9498,2.5459,5.32212,90.8319
279994,28797851,43.8556,-2.10449,-0.501099,42.2759,0.841064,-1.20557,32.0967,0.319275,0.199051,91.1258
279994,35591579,58.7191,-0.869751,0.143829,34.3742,2.39746,-0.380066,29.6099,0.961548,12.6746,92.7828
280017,669456810,43.2229,-1.50977,2.19043,37.1534,1.57007,1.21631,27.8063,0.990234,0.301055,89.8087
280017,670922081,40.409,-1.29761,-0.14212,34.6214,1.84692,0.937744,39.0647,2.90918,1.48899,85.9783
280024,227705763,39.7331,-0.25769,0.590698,33.0063,3.0752,-0.692139,38.9345,-2.86572,0.214698,87.5719
280024,237545489,44.6246,1.56323,1.49976,41.5187,-1.79077,2.09863,27.2673,0.129211,15.5449,89.5116
280024,249801030,27.7583,1.36646,1.44067,26.0213,-1.69678,-0.572998,23.5859,-0.0451584,0.370444,83.3501
280188,9108017,42.1731,-2.02051,-1.37183,41.6967,1.20215,-0.497925,39.412,-1.04028,10.4061,91.9402
280191,39544798,51.9786,1.13794,-0.488098,27.812,-1.98535,-1.44409,43.3512,2.2583,5.20409,84.894
280191,44070937,92.3204,-3.02832,-0.548584,28.2452,-0.837524,-0.270996,32.9424,2.5835,23.7134,91.9111
280191,48376487,38.4838,-0.497681,-1.35547,24.7169,2.76807,0.638794,26.4128,-1.05469,0.247676,94.8973
280191,70261842,65.1824,-2.69971,1.78882,28.0723,0.0240898,2.36768,65.4532,0.475891,16.3298,87.3781
280191,97964039,38.6,0.745239,-1.11816,36.6711,-2.46631,0.160797,29.9459,-1.82202,6.72111,91.1254
280191,97547717,87.0197,2.76367,1.02783,25.5169,-0.827637,1.08325,49.5337,-0.149017,19.5627,91.9083
280191,100666449,57.5947,-1.22607,-1.35083,29.7026,1.66504,-2.00586,47.3141,-0.894775,0.185439,86.5836
280191,179974627,44.6133,2.53369,2.03418,28.683,-0.578247,0.577759,37.7369,-1.90259,6.2126,91.361
280191,182175160,44.4153,-1.51904,0.666992,36.5885,1.99341,-0.6427,20.4509,1.43677,10.6471,97.4107
280194,31275791,119.451,-0.289795,0.732422,77.6442,-0.206146,0.634521,39.4561,1.33252,60.8879,12.4025
280194,40747606,244.006,-2.3667,-0.243042,23.1195,-2.34863,-0.236572,34.6386,-1.99951,9.43402,1.44131
278874,90139776,78.2449,-2.41016,0.376038,49.9632,2.479,-0.282837,33.6213,0.870239,48.1841,90.5715
278874,143806384,47.9534,2.30615,-1.49561,39.3838,-0.875244,-1.67847,56.9815,2.54932,0.327743,87.2621
278874,519913436,59.931,0.825317,1.104,58.6774,-0.83252,0.760742,30.1819,2.66943,47.1295,89.7944
278874,541720971,42.0141,2.31982,1.37256,40.9566,-0.645142,2.18262,31.5188,3.11865,12.2862,89.5641
278874,557383059,63.191,-1.92578,-1.94873,32.8219,1.29297,-1.22803,31.8231,0.428406,8.92649,96.9978
278874,568201327,34.68,1.81299,2.11328,33.4533,-1.42749,0.288208,22.4724,-0.30542,8.15668,98.4519
278923,251549978,103.595,-0.783813,0.16687,87.2644,1.83276,0.697632,46.3386,1.09424,0.149745,190.611
278923,509318876,51.6461,-1.31714,-1.51733,38.747,1.78271,-1.9314,22.4985,2.11475,3.57799,91.3732
278923,631906745,78.0999,1.0061,-2.39893,45.8645,-2.21436,-0.79541,41.4509,-2.11279,3.47928,160.208
278923,646522550,46.1071,-1.84668,2.20801,40.2329,0.99292,1.44775,63.1642,-2.45605,19.3231,91.526
278957,72131084,28.5967,-0.755615,1.00952,27.3245,2.75732,-1.38135,142.325,1.93213,29.7894,100.314
278969,235184319,38.6263,1.93213,2.09912,29.7713,-1.25024,0.77832,79.0488,1.41138,7.25831,83.1455
278969,236186881,49.4934,0.781006,1.07788,39.1414,-2.48828,0.482239,25.1935,1.75488,0.239746,91.7894
278969,1341875984,163.642,0.701904,-1.36914,41.485,-0.459534,-1.21362,37.8663,2.9624,66.1727,91.3116
279115,423816647,44.1483,-0.397644,2.37988,40.4621,2.71777,1.71753,47.1487,0.953613,0.694465,89.2012
279115,564039050,58.7479,1.47461,0.837158,42.6726,-2.57422,1.16479,29.9633,-1.59766,26.4409,91.5071
279115,448638388,35.2182,0.922119,0.0999146,30.0606,-2.13379,1.80566,24.6369,1.56885,6.25543,90.1691
279115,475426732,31.3756,1.82739,2.25732,20.2289,-0.623291,-0.223846,27.7826,0.24585,0.187415,92.8401
279115,498612180,36.023,-0.482971,-0.259949,31.7697,-3.09717,1.38599,20.9023,2.37598,14.0412,90.1857
279115,493640916,57.0627,-0.236725,-0.233948,34.5253,2.2168,-1.04761,68.2696,1.7207,0.208055,91.4427
279115,527542788,54.0989,-1.73315,-1.68994,40.4997,1.89526,-1.49731,46.8296,-0.301331,31.3655,91.304
279116,570370338,58.3001,-0.838745,-0.976074,49.7416,1.19287,-0.812866,61.2525,-0.0318909,0.153215,91.9587
279116,752618318,78.4484,1.16724,1.04932,30.6395,-1.16235,1.35693,36.9524,0.589355,0.145865,91.346
279588,1151380220,39.9383,2.09424,0.581787,37.458,-0.964966,-0.185425,26.7819,1.15186,0.298906,83.0573
279588,1155142742,54.4399,2.79297,-1.65698,47.1833,0.72522,-1.26221,45.4631,-0.206421,33.4033,89.3983
279588,1158592624,55.6672,-2.62158,0.330688,39.2527,-0.1698,-0.0442963,28.7781,2.66699,24.2725,89.7332
279588,1198119807,48.4824,-3.06787,1.99658,31.0513,-1.12134,0.634277,21.8894,-1.64185,0.139717,85.8451
279654,83396282,47.5791,-0.699707,1.96631,35.1843,2.37549,2.09277,43.0595,1.15479,0.45258,81.9487
279654,94889410,48.1414,-0.756836,-2.19238,20.4179,2.9126,1.5354,61.0371,1.36865,29.9661,206.396
279654,96550007,75.1373,-2.69238,1.93042,23.7234,1.31934,0.833618,23.6428,2.3623,0.1576,90.7281
279654,219657685,68.3631,-0.686523,0.650024,43.953,-2.57227,0.945312,21.9356,1.96387,35.275,90.1941
279654,224226976,40.6567,1.96826,-1.46118,23.2804,-1.37183,0.424927,36.8648,-0.674438,11.0608,90.7761
279654,225468455,61.8811,-0.142273,0.123627,23.891,-1.70532,-0.864258,78.927,2.84326,56.2213,67.0665
279654,839241868,49.1929,-0.890381,0.0804443,40.8579,2.07715,0.112595,63.3663,0.61731,0.332221,89.3365
279654,1565640494,43.7826,-2.1001,0.991699,40.6423,0.836548,0.497864,26.462,-2.60986,9.59595,86.5221
279654,1713556470,203.542,-2.50781,-1.99316,72.4708,0.740112,0.131561,20.5026,-3.13525,0.168867,393.155
279667,854958111,44.2412,0.897705,-0.510742,41.7571,-2.5752,-1.06348,21.7084,-1.26587,16.7372,88.1337
279667,878769908,85.2105,0.217499,0.151093,41.9197,1.77954,-0.357361,37.2573,2.99268,39.362,89.5822
279694,589982422,42.4124,-1.92749,0.187775,37.0699,0.873413,-0.565186,25.4898,-0.117813,0.182764,83.9194
279694,596455529,54.6403,-2.87842,-0.522827,29.4453,0.800415,0.663452,24.743,-0.948486,22.5774,92.3294
279694,605830751,48.6811,1.84155,0.260254,40.538,-1.29688,0.865967,40.8084,1.54907,0.828765,92.9524
279694,367159387,49.0794,-1.11157,1.39038,26.7261,-1.37012,-0.698608,35.8921,1.19189,46.833,90.6669
279694,473271801,84.047,1.64038,-0.601318,56.8251,2.81982,0.416626,30.0952,3.00293,7.33255,106.3
279694,481530673,58.1256,2.20215,-0.357788,31.4602,-0.0480423,0.741089,67.472,-2.95117,41.5717,91.6228
279694,481150687,58.9088,-0.9552,-2.3374,24.0642,-1.41455,-0.411987,20.891,-2.32471,17.8215,85.9492
279694,833563972,31.5599,3.06104,-1.19971,26.4221,0.213135,0.966797,46.9276,2.19043,0.252557,94.7086
279694,2332698074,49.09,-0.657715,-1.32617,43.4,2.42871,-1.36646,20.7135,1.99048,0.236854,92.2984
279694,2342772653,27.4804,2.61572,0.476196,25.8199,1.38721,0.303955,59.6172,-0.355957,45.6279,31.0465
279694,2726911520,39.7396,0.291504,-0.59082,37.3247,-3.0874,0.64856,20.6342,-0.842407,12.6588,91.8441
279694,2744280794,57.1095,-2.97607,2.17188,27.5697,0.633301,1.06079,20.9991,-0.734985,18.2402,90.0654
279715,47979120,48.5776,-0.657837,-1.30981,42.6451,2.65186,-0.850342,44.5155,2.33057,9.01769,93.1293
279715,56885896,34.3467,1.81055,1.0835,29.1357,-1.198,-0.91394,57.7575,2.37793,10.8412,97.4419
279715,911299030,76.8985,1.2019,-2.31494,32.053,-0.0680847,-0.897217,25.3705,-2.46338,42.9902,96.4917
279715,74813590,47.1937,-0.502563,-0.577271,43.6861,2.01562,-0.3927,56.4368,0.395935,0.184316,86.8426
279715,232991980,34.3868,-2.8833,1.59204,24.4727,-2.90039,1.69629,24.3778,0.462769,37.1235,3.06588
279715,1056289417,50.9259,-1.88281,0.393616,38.8248,1.28198,0.406677,22.2181,1.41846,0.229092,88.9271
