#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 0.000346161    | 0.000032391   |
| 283478:5427 | 10/19/16 04:13:19 | 878  | 874  | 0.224211149    | 0.215026030   |
| 283548:5433 | 10/19/16 22:58:16 | 148  | 146  | 0.028778734    | 0.027087529   |
| 283680:5437 | 10/21/16 03:17:52 | 87   | 87   | 0.021850109    | 0.019576916   |
| 283681:5437 | 10/21/16 03:56:07 | 23   | 23   | 0.005605342    | 0.003940847   |
| 283682:5437 | 10/21/16 04:08:38 | 389  | 384  | 0.085808191    | 0.082320725   |
| 283685:5437 | 10/21/16 06:39:38 | 314  | 314  | 0.021623014    | 0.020509145   |
| 283820:5439 | 10/21/16 20:48:18 | 1486 | 1482 | 0.274588794    | 0.264965548   |
| 283830:5439 | 10/22/16 06:27:26 | 729  | 722  | 0.107374747    | 0.103572646   |
| 283834:5439 | 10/22/16 11:11:28 | 85   | 82   | 0.010837919    | 0.009076819   |
| 283835:5439 | 10/22/16 11:45:28 | 112  | 112  | 0.013186962    | 0.011378247   |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 0.280778313    | 0.271419155   |
| 283876:5442 | 10/23/16 03:38:50 | 672  | 668  | 0.179871278    | 0.169705930   |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 0.256967764    | 0.248939733   |
| 283884:5443 | 10/23/16 23:44:05 | 408  | 408  | 0.111394793    | 0.105347509   |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | 1723 | 0.302435513    | 0.293868269   |
| 283933:5446 | 10/24/16 18:32:31 | 153  | 148  | 0.046372933    | 0.041942852   |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 0.284954051    | 0.274469662   |
| 283946:5448 | 10/25/16 07:30:41 | 1378 | 1378 | 0.317732015    | 0.305723477   |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 0.060338976    | 0.058491883   |
| 284006:5450 | 10/26/16 01:53:26 | 322  | 321  | 0.060904115    | 0.058101528   |
